sic_code,industry_x,non_UK_workforce,vacancy_rate,ssv_density,med_annual_wage_differential,visa_grants,jobs_at_risk_of_automation,seasonality,scenario,cluster_label,dist_to_centroid,industry_y,baseline_cluster_label,baseline_dist_to_centroid,drift,cluster_changed
A,"Agriculture, Forestry and Fishing",0.128,0.031200000000000002,0.5280692380666892,-6728.4,16354.199999999999,0.19635,9,restrictive_policy,2,8.108147359699927,"Agriculture, Forestry and Fishing",2,1.277117209397329,6.831030150302598,False
B,Mining and Quarrying,0.095,0.0385875,0.32719276675885595,13217.6,580.5,0.231,4,restrictive_policy,1,2.506213579172204,Mining and Quarrying,1,1.1142604498499917,1.3919531293222125,False
C,Manufacturing,0.171,0.026512500000000005,0.42923578644957144,-12.0,5756.8,0.5104000000000001,4,restrictive_policy,0,2.7358052697599398,Manufacturing,0,1.3981565458912608,1.337648723868679,False
D,"Electricity, gas, steam and air conditioning supply",0.095,0.036225,0.28582715557516686,17122.600000000002,988.2,0.318,9,restrictive_policy,1,8.508759994938988,"Electricity, gas, steam and air conditioning supply",1,1.021801405320585,7.4869585896184025,False
E,"Water supply, sewerage, waste management and remediation activities",0.1,0.025649999999999996,0.16543181591251066,1569.0,120.0,0.6573,1,restrictive_policy,3,1.4664456908921122,"Water supply, sewerage, waste management and remediation activities",3,1.34840097207928,0.11804471881283218,False
F,Construction,0.12,0.024,0.4470927493634573,3043.0,3428.5499999999997,0.22515,4,restrictive_policy,5,2.421246778226109,Construction,5,1.6310162536140997,0.7902305246120092,False
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,0.14400000000000002,0.025200000000000004,0.31370391599580727,-4999.0,3936.0,0.48400000000000004,9,restrictive_policy,6,8.50541457288569,Wholesale and retail trade; repair of motor vehicles and motorcycles,0,1.4667188749938782,7.038695697891811,True
H,Transportation and storage,0.20700000000000002,0.0228375,0.3007966581382208,-63.0,1943.2,0.6204,4,restrictive_policy,0,2.677591666149,Transportation and storage,0,1.1998035657326676,1.4777881004163325,False
I,Accommodation and food service activities,0.255,0.04341249999999999,0.2922289862302495,-9912.0,7684.549999999999,0.26775000000000004,9,restrictive_policy,6,7.724596960449893,Accommodation and food service activities,6,0.0,7.724596960449893,False
J,Information and communication,0.198,0.030525000000000004,0.41299429624802564,10259.550000000001,9180.0,0.30030000000000007,1,restrictive_policy,4,1.5522707693232913,Information and communication,4,1.0928808697709576,0.4593898995523338,False
K,Financial and insurance activities,0.1615,0.03255,0.23015486680762068,14558.500000000002,7586.1,0.322,4,restrictive_policy,1,2.335677237918849,Financial and insurance activities,1,1.3504668954170138,0.9852103425018353,False
L,Real estate activities,0.13,0.023,0.313633623140543,-2287.0,605.15,0.26789999999999997,9,restrictive_policy,5,8.308890971692062,Real estate activities,5,1.2056028533324883,7.103288118359574,False
M,"Professional, scientific and technical activities",0.162,0.032175,0.34054976394491043,6815.55,9004.0,0.2816,1,restrictive_policy,4,1.1334496914303434,"Professional, scientific and technical activities",4,0.673564952587291,0.45988473884305237,False
N,Administrative and support service activities,0.29700000000000004,0.02415,0.31813947061612047,-3963.0,8700.0,0.41140000000000004,4,restrictive_policy,0,2.505207409102987,Administrative and support service activities,0,1.7573696422886493,0.7478377668143377,False
O,Public administration and defence; compulsory social security,0.06,0.019,0.15976694649726172,1842.0,517.0,0.33705,1,restrictive_policy,3,1.3622125433882786,Public administration and defence; compulsory social security,3,1.3484009720792798,0.013811571308998793,False
P,Education,0.12,0.02,0.3696373661899575,1400.0,8074.049999999999,0.08075,9,restrictive_policy,5,8.330244315698831,Education,5,1.2986169724782062,7.031627343220625,False
Q,Human health and social work activities,0.2,0.0393,0.3655548722630394,-3321.6,16834.8,0.17850000000000002,9,restrictive_policy,2,7.963569887418561,Human health and social work activities,2,1.2771172093973293,6.686452678021232,False
R,"Arts, entertainment and recreation",0.09,0.02025,0.26158055556882365,-4962.0,8548.1,0.21184999999999998,4,restrictive_policy,5,2.378585564993244,"Arts, entertainment and recreation",5,1.5804447532811314,0.7981408117121125,False
S,Other service activities,0.18000000000000002,0.029425000000000003,0.3571322760188079,-5533.5,7740.0,0.2046,1,restrictive_policy,4,1.489748741291324,Other service activities,4,1.3842110621734736,0.10553767911785039,False
A,"Agriculture, Forestry and Fishing",0.192,0.020800000000000003,0.3520461587111261,-4485.6,38159.799999999996,0.17765,9,facilitative_policy,2,7.906580631277576,"Agriculture, Forestry and Fishing",2,1.277117209397329,6.629463421880247,False
B,Mining and Quarrying,0.10500000000000001,0.0349125,0.29603155087706007,10814.4,709.5000000000001,0.231,4,facilitative_policy,1,2.2772223843130117,Mining and Quarrying,1,1.1142604498499917,1.16296193446302,False
