sic_code,industry_x,non_UK_workforce,vacancy_rate,ssv_density,med_annual_wage_differential,visa_grants,jobs_at_risk_of_automation,seasonality,scenario,cluster_label,dist_to_centroid,industry_y,baseline_cluster_label,baseline_dist_to_centroid,drift,cluster_changed
A,"Agriculture, Forestry and Fishing",0.128,0.031200000000000002,0.5280692380666892,-6728.4,16354.199999999999,0.19635,3,restrictive_policy,2,2.77924386546984,"Agriculture, Forestry and Fishing",2,1.277117209397329,1.5021266560725108,False
B,Mining and Quarrying,0.095,0.0385875,0.32719276675885595,13217.6,580.5,0.231,2,restrictive_policy,1,1.4083633965735203,Mining and Quarrying,1,1.1142604498499917,0.29410294672352855,False
C,Manufacturing,0.171,0.026512500000000005,0.42923578644957144,-12.0,5756.8,0.5104000000000001,2,restrictive_policy,0,1.6278234073371805,Manufacturing,0,1.3981565458912608,0.22966686144591963,False
D,"Electricity, gas, steam and air conditioning supply",0.095,0.036225,0.28582715557516686,17122.600000000002,988.2,0.318,3,restrictive_policy,1,1.219951788293212,"Electricity, gas, steam and air conditioning supply",1,1.021801405320585,0.198150382972627,False
E,"Water supply, sewerage, waste management and remediation activities",0.1,0.025649999999999996,0.16543181591251066,1569.0,120.0,0.6573,1,restrictive_policy,3,1.4664456908921122,"Water supply, sewerage, waste management and remediation activities",3,1.34840097207928,0.11804471881283218,False
F,Construction,0.12,0.024,0.4470927493634573,3043.0,3428.5499999999997,0.22515,2,restrictive_policy,5,1.6245681504190665,Construction,5,1.6310162536140997,-0.006448103195033195,False
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,0.14400000000000002,0.025200000000000004,0.31370391599580727,-4999.0,3936.0,0.48400000000000004,3,restrictive_policy,0,1.6702773798632617,Wholesale and retail trade; repair of motor vehicles and motorcycles,0,1.4667188749938782,0.20355850486938354,False
H,Transportation and storage,0.20700000000000002,0.0228375,0.3007966581382208,-63.0,1943.2,0.6204,2,restrictive_policy,0,1.5279645617811795,Transportation and storage,0,1.1998035657326676,0.3281609960485119,False
I,Accommodation and food service activities,0.255,0.04341249999999999,0.2922289862302495,-9912.0,7684.549999999999,0.26775000000000004,3,restrictive_policy,6,1.2851229740902506,Accommodation and food service activities,6,0.0,1.2851229740902506,False
J,Information and communication,0.198,0.030525000000000004,0.41299429624802564,10259.550000000001,9180.0,0.30030000000000007,1,restrictive_policy,4,1.5522707693232913,Information and communication,4,1.0928808697709576,0.4593898995523338,False
K,Financial and insurance activities,0.1615,0.03255,0.23015486680762068,14558.500000000002,7586.1,0.322,2,restrictive_policy,1,1.0759967993043364,Financial and insurance activities,1,1.3504668954170138,-0.27447009611267736,False
L,Real estate activities,0.13,0.023,0.313633623140543,-2287.0,605.15,0.26789999999999997,3,restrictive_policy,5,1.161967804831899,Real estate activities,5,1.2056028533324883,-0.04363504850058919,False
M,"Professional, scientific and technical activities",0.162,0.032175,0.34054976394491043,6815.55,9004.0,0.2816,1,restrictive_policy,4,1.1334496914303434,"Professional, scientific and technical activities",4,0.673564952587291,0.45988473884305237,False
N,Administrative and support service activities,0.29700000000000004,0.02415,0.31813947061612047,-3963.0,8700.0,0.41140000000000004,2,restrictive_policy,0,1.2005176941857514,Administrative and support service activities,0,1.7573696422886493,-0.556851948102898,False
O,Public administration and defence; compulsory social security,0.06,0.019,0.15976694649726172,1842.0,517.0,0.33705,1,restrictive_policy,3,1.3622125433882786,Public administration and defence; compulsory social security,3,1.3484009720792798,0.013811571308998793,False
P,Education,0.12,0.02,0.3696373661899575,1400.0,8074.049999999999,0.08075,3,restrictive_policy,5,1.3059365831588816,Education,5,1.2986169724782062,0.007319610680675437,False
Q,Human health and social work activities,0.2,0.0393,0.3655548722630394,-3321.6,16834.8,0.17850000000000002,3,restrictive_policy,2,2.3239165666913526,Human health and social work activities,2,1.2771172093973293,1.0467993572940233,False
R,"Arts, entertainment and recreation",0.09,0.02025,0.26158055556882365,-4962.0,8548.1,0.21184999999999998,2,restrictive_policy,5,1.5602740157677253,"Arts, entertainment and recreation",5,1.5804447532811314,-0.020170737513406145,False
S,Other service activities,0.18000000000000002,0.029425000000000003,0.3571322760188079,-5533.5,7740.0,0.2046,1,restrictive_policy,4,1.489748741291324,Other service activities,4,1.3842110621734736,0.10553767911785039,False
A,"Agriculture, Forestry and Fishing",0.192,0.020800000000000003,0.3520461587111261,-4485.6,38159.799999999996,0.17765,3,facilitative_policy,2,2.120415085787817,"Agriculture, Forestry and Fishing",2,1.277117209397329,0.8432978763904877,False
B,Mining and Quarrying,0.10500000000000001,0.0349125,0.29603155087706007,10814.4,709.5000000000001,0.231,2,facilitative_policy,1,0.9424026421849582,Mining and Quarrying,1,1.1142604498499917,-0.17185780766503356,False
C,Manufacturing,0.20900000000000002,0.023987500000000005,0.42923578644957144,-12.0,8635.199999999999,0.41759999999999997,2,facilitative_policy,0,1.350787460873943,Manufacturing,0,1.3981565458912608,-0.04736908501731785,False
D,"Electricity, gas, steam and air conditioning supply",0.10500000000000001,0.03277499999999999,0.2586055217108652,14009.399999999998,1207.8000000000002,0.318,3,facilitative_policy,1,0.9909279350268697,"Electricity, gas, steam and air conditioning supply",1,1.021801405320585,-0.030873470293715344,False
E,"Water supply, sewerage, waste management and remediation activities",0.1,0.028349999999999997,0.18284569127172234,1569.0,120.0,0.5947,1,facilitative_policy,3,1.322531764458168,"Water supply, sewerage, waste management and remediation activities",3,1.34840097207928,-0.025869207621112,False
F,Construction,0.12,0.024,0.4470927493634573,3043.0,3789.4500000000003,0.24885,2,facilitative_policy,5,1.6425954639551796,Construction,5,1.6310162536140997,0.011579210341079893,False
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,0.17600000000000002,0.022800000000000004,0.31370391599580727,-4999.0,5904.0,0.39599999999999996,3,facilitative_policy,0,1.401503770661559,Wholesale and retail trade; repair of motor vehicles and motorcycles,0,1.4667188749938782,-0.06521510433231925,False
H,Transportation and storage,0.25300000000000006,0.020662499999999997,0.3007966581382208,-63.0,2914.7999999999997,0.5075999999999999,2,facilitative_policy,0,1.0961920154035807,Transportation and storage,0,1.1998035657326676,-0.10361155032908687,False
I,Accommodation and food service activities,0.345,0.032087500000000005,0.23909644327929502,-8968.0,8493.45,0.24225,3,facilitative_policy,6,1.2851229740902508,Accommodation and food service activities,6,0.0,1.2851229740902508,False
J,Information and communication,0.24200000000000002,0.024974999999999997,0.33790442420293,9282.449999999999,13770.0,0.2457,1,facilitative_policy,4,1.2076842513840833,Information and communication,4,1.0928808697709576,0.11480338161312575,False
K,Financial and insurance activities,0.17850000000000002,0.029449999999999997,0.20823535568308535,11911.499999999998,9271.900000000001,0.322,2,facilitative_policy,1,1.6802947590599453,Financial and insurance activities,1,1.3504668954170138,0.3298278636429315,False
L,Real estate activities,0.13,0.023,0.313633623140543,-2287.0,668.85,0.2961,3,facilitative_policy,5,1.2566757705483356,Real estate activities,5,1.2056028533324883,0.05107291721584728,False
M,"Professional, scientific and technical activities",0.198,0.026324999999999994,0.2786316250458357,6166.45,13506.0,0.2304,1,facilitative_policy,4,0.9597233226825846,"Professional, scientific and technical activities",4,0.673564952587291,0.28615837009529366,False
N,Administrative and support service activities,0.36300000000000004,0.021849999999999998,0.31813947061612047,-3963.0,13050.0,0.33659999999999995,2,facilitative_policy,0,2.360462325630068,Administrative and support service activities,0,1.7573696422886493,0.6030926833414185,False
O,Public administration and defence; compulsory social security,0.06,0.021,0.176584519812763,1842.0,517.0,0.30495,1,facilitative_policy,3,1.3797054714962553,Public administration and defence; compulsory social security,3,1.3484009720792798,0.03130449941697555,False
P,Education,0.12,0.02,0.3696373661899575,1400.0,8923.95,0.08925000000000001,3,facilitative_policy,5,1.294366039432177,Education,5,1.2986169724782062,-0.004250933046029193,False
Q,Human health and social work activities,0.3,0.0262,0.2437032481753596,-2214.4,39281.2,0.1615,3,facilitative_policy,2,2.7044640606540047,Human health and social work activities,2,1.2771172093973293,1.4273468512566754,False
R,"Arts, entertainment and recreation",0.09,0.02025,0.26158055556882365,-4962.0,9447.9,0.23415000000000002,2,facilitative_policy,5,1.6068301487277803,"Arts, entertainment and recreation",5,1.5804447532811314,0.026385395446648863,False
S,Other service activities,0.22000000000000003,0.024074999999999996,0.29219913492447913,-5006.5,11610.0,0.1674,1,facilitative_policy,4,1.6721848886541937,Other service activities,4,1.3842110621734736,0.2879738264807201,False
A,"Agriculture, Forestry and Fishing",0.128,0.023400000000000004,0.4400576983889076,-6167.700000000001,20442.75,0.20570000000000002,3,high_automation,2,2.0459995338139483,"Agriculture, Forestry and Fishing",2,1.277117209397329,0.7688823244166192,False
